Please select your  age (in years) below :,How often do you find that you stay online longer than you intended?  [Your response],How often do your grades or school work suffer because of the amount of time you spend online?  [Your response],How often does your job performance or productivity suffer because of the social media?  [Your response],How often do you check your social media account before something else that you need to do? [Your response],How often do you lose sleep due to being online?  [Your response],How often do you try to cut down the amount of time you spend online and fail? [Your response],"How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back online? [Your response]","In a day, how much time do you spend on social media platforms?",How well are you able to concentrate?,Are you able to accept your bodily appearance?,How satisfied are you with the support you get from your friends?,"How often do you have negative feelings, such as blue mood, despair, anxiety, depression? ",Highest level of eduaction attained :,Field of education / profession :,Type of settlement : ,When did you start using social media actively?
Above 28,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,5,4,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Occasionally,Rarely,2 to 3 hours,5,2,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Occasionally,Rarely,2 to 3 hours,5,2,5,1,Bachelor's Degree,Management,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Rarely,Frequently,Rarely,Rarely,1 to 2 hours,3,2,3,4,Diploma,Mass-communication,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Frequently,Often,Rarely,Rarely,greater than 3 hours,5,5,5,4,Diploma,"Arts, Psychology and Sociology",Urban,4 years ago or higher
Above 28,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,4,2,5,3,Diploma,Finance,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,4,2,5,3,Diploma,Finance,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,4,5,4,2,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,5,4,4,1,Master's Degree,Medical,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,3,3,4,2,Master's Degree,Education Teaching,Urban,less than an year ago
Above 28,Rarely,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,Occasionally,greater than 3 hours,3,1,3,5,Master's Degree,Tourism management,Urban,4 years ago or higher
below 18,Rarely,Occasionally,Rarely,Rarely,Often,Rarely,Rarely,2 to 3 hours,2,5,3,3,10th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
below 18,Rarely,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Not Applicable,2 to 3 hours,3,4,5,5,12th standard,Engineering,Rural,2 years ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,2,4,4,3,12th standard,Management,Rural,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,less than an hour,4,3,3,4,12th standard,Designing,Urban,2 years ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Not Applicable,Not Applicable,1 to 2 hours,4,5,5,2,12th standard,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Occasionally,greater than 3 hours,4,4,5,5,12th standard,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,3,2,3,1,12th standard,Engineering,Urban,4 years ago or higher
18-22,Rarely,Frequently,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,greater than 3 hours,1,3,5,1,12th standard,Engineering,Rural,4 years ago or higher
18-22,Rarely,Always,Often,Frequently,Always,Rarely,Not Applicable,2 to 3 hours,3,2,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,5,4,5,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,less than an hour,4,4,5,3,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Occasionally,Not Applicable,Occasionally,Not Applicable,Not Applicable,less than an hour,5,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Always,Rarely,Rarely,Often,Occasionally,Not Applicable,less than an hour,3,5,3,2,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,4,Bachelor's Degree,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,3,2,5,1,Bachelor's Degree,Management,Urban,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Always,Not Applicable,less than an hour,4,5,3,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,greater than 3 hours,3,5,1,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,5,5,3,Bachelor's Degree,Tourism management,Urban,3 years ago
18-22,Rarely,Not Applicable,Not Applicable,Occasionally,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,5,4,2,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,Rarely,Rarely,1 to 2 hours,5,4,4,3,Master's Degree,"Arts, Psychology and Sociology",Rural,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
23-25,Rarely,Not Applicable,Rarely,Rarely,Rarely,Always,Rarely,less than an hour,3,4,5,2,12th standard,"Arts, Psychology and Sociology",Rural,2 years ago
23-25,Rarely,Not Applicable,Occasionally,Rarely,Rarely,Rarely,Occasionally,1 to 2 hours,4,5,4,4,12th standard,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,1 to 2 hours,4,4,4,3,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Rarely,Not Applicable,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,5,5,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Not Applicable,Frequently,Rarely,Not Applicable,greater than 3 hours,3,3,3,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,less than an hour,4,4,5,3,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,1 to 2 hours,3,4,5,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,4,5,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,3,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,4,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Not Applicable,2 to 3 hours,5,4,3,3,Master's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Occasionally,Rarely,Occasionally,Not Applicable,Rarely,1 to 2 hours,3,4,2,4,Master's Degree,Engineering,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Occasionally,greater than 3 hours,3,4,4,2,Master's Degree,Mass-communication,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,4,3,2,Master's Degree,Designing,Urban,4 years ago or higher
26-28,Rarely,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,Not Applicable,2 to 3 hours,3,4,4,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Frequently,Frequently,1 to 2 hours,2,2,3,1,Bachelor's Degree,Engineering,Urban,2 years ago
26-28,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,1 to 2 hours,3,5,4,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,5,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,4,2,Master's Degree,Education Teaching,Urban,4 years ago or higher
26-28,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Always,Occasionally,less than an hour,2,1,2,4,Master's Degree,Mass-communication,Urban,3 years ago
26-28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,Not Applicable,less than an hour,5,5,5,1,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Occasionally,Frequently,Rarely,Rarely,Not Applicable,1 to 2 hours,4,3,3,1,Master's Degree,Education Teaching,Urban,3 years ago
26-28,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1 to 2 hours,1,1,2,5,Master's Degree,Finance,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Rarely,Rarely,less than an hour,4,3,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,3 years ago
Above 28,Rarely,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,greater than 3 hours,3,3,3,4,Bachelor's Degree,Management,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,5,4,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Occasionally,Rarely,2 to 3 hours,5,2,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Occasionally,Rarely,2 to 3 hours,5,2,5,1,Bachelor's Degree,Management,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Rarely,Frequently,Rarely,Rarely,1 to 2 hours,3,2,3,4,Diploma,Mass-communication,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Frequently,Often,Rarely,Rarely,greater than 3 hours,5,5,5,4,Diploma,"Arts, Psychology and Sociology",Urban,4 years ago or higher
Above 28,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,4,2,5,3,Diploma,Finance,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,4,2,5,3,Diploma,Finance,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,4,5,4,2,Master's Degree,Engineering,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,5,4,4,1,Master's Degree,Medical,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Not Applicable,Not Applicable,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,2,1,5,3,Master's Degree,Education Teaching,Urban,4 years ago or higher
Above 28,Rarely,Rarely,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,less than an hour,3,3,4,2,Master's Degree,Education Teaching,Urban,less than an year ago
Above 28,Rarely,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,Occasionally,greater than 3 hours,3,1,3,5,Master's Degree,Tourism management,Urban,4 years ago or higher
below 18,Rarely,Occasionally,Rarely,Rarely,Often,Rarely,Rarely,2 to 3 hours,2,5,3,3,10th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
below 18,Rarely,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Not Applicable,2 to 3 hours,3,4,5,5,12th standard,Engineering,Rural,2 years ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,2,4,4,3,12th standard,Management,Rural,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,less than an hour,4,3,3,4,12th standard,Designing,Urban,2 years ago
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Not Applicable,Not Applicable,1 to 2 hours,4,5,5,2,12th standard,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Occasionally,greater than 3 hours,4,4,5,5,12th standard,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,3,2,3,1,12th standard,Engineering,Urban,4 years ago or higher
18-22,Rarely,Frequently,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,greater than 3 hours,1,3,5,1,12th standard,Engineering,Rural,4 years ago or higher
18-22,Rarely,Always,Often,Frequently,Always,Rarely,Not Applicable,2 to 3 hours,3,2,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,4,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,5,4,5,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,less than an hour,4,4,5,3,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Occasionally,Not Applicable,Occasionally,Not Applicable,Not Applicable,less than an hour,5,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Always,Rarely,Rarely,Often,Occasionally,Not Applicable,less than an hour,3,5,3,2,Bachelor's Degree,Finance,Rural,4 years ago or higher
18-22,Rarely,Not Applicable,Not Applicable,Rarely,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,4,Bachelor's Degree,Engineering,Urban,3 years ago
18-22,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,2 to 3 hours,3,2,5,1,Bachelor's Degree,Management,Urban,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Always,Not Applicable,less than an hour,4,5,3,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,greater than 3 hours,3,5,1,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,5,5,3,Bachelor's Degree,Tourism management,Urban,3 years ago
18-22,Rarely,Not Applicable,Not Applicable,Occasionally,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,5,4,2,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,5,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,2,5,Master's Degree,Finance,Urban,4 years ago or higher
18-22,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,Rarely,Rarely,1 to 2 hours,5,4,4,3,Master's Degree,"Arts, Psychology and Sociology",Rural,2 years ago
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
18-22,Rarely,Rarely,Not Applicable,Rarely,Rarely,Rarely,Rarely,2 to 3 hours,5,4,3,5,Master's Degree,Fine Arts,Rural,4 years ago or higher
23-25,Rarely,Not Applicable,Rarely,Rarely,Rarely,Always,Rarely,less than an hour,3,4,5,2,12th standard,"Arts, Psychology and Sociology",Rural,2 years ago
23-25,Rarely,Not Applicable,Occasionally,Rarely,Rarely,Rarely,Occasionally,1 to 2 hours,4,5,4,4,12th standard,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,1 to 2 hours,4,4,4,3,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Rarely,Not Applicable,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,5,5,2,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Not Applicable,Frequently,Rarely,Not Applicable,greater than 3 hours,3,3,3,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,less than an hour,4,4,5,3,Bachelor's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,1 to 2 hours,3,4,5,2,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,4,5,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,3,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,4,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Not Applicable,2 to 3 hours,5,4,3,3,Master's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
23-25,Rarely,Rarely,Occasionally,Rarely,Occasionally,Not Applicable,Rarely,1 to 2 hours,3,4,2,4,Master's Degree,Engineering,Urban,4 years ago or higher
23-25,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Occasionally,greater than 3 hours,3,4,4,2,Master's Degree,Mass-communication,Urban,4 years ago or higher
23-25,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,Rarely,2 to 3 hours,4,4,3,2,Master's Degree,Designing,Urban,4 years ago or higher
26-28,Rarely,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,Not Applicable,2 to 3 hours,3,4,4,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Frequently,Frequently,1 to 2 hours,2,2,3,1,Bachelor's Degree,Engineering,Urban,2 years ago
26-28,Rarely,Not Applicable,Rarely,Not Applicable,Rarely,Rarely,Not Applicable,1 to 2 hours,3,5,4,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,5,4,Bachelor's Degree,Finance,Urban,4 years ago or higher
26-28,Rarely,Rarely,Not Applicable,Rarely,Occasionally,Rarely,Not Applicable,2 to 3 hours,4,5,4,2,Master's Degree,Education Teaching,Urban,4 years ago or higher
